English,Afar,,,,
I heard the rusting  of palm leaves carried by a donkey,Dananal yeerren qungah farracto oobbe,,,,
I felt sad,Anu nadaamiteh,,,,
patriots sacrifice themselves for their country,Agat kacannoytit isinni baaxoh fida yakken,,,,
Books are exported in paper sacks,Buukat baaxok baaxo kafaqat ruuban,,,,
"When I heard a dress rusting, I knew my mother had come ",Sari hargufto oobbe waqdi yiina temeetem eexegeh,,,,
The man in the accident was safe,Qawwalayla edde tekke num nagay raaqe,,,,
I rue coming here ,Anu akke abe mamaatat nadaamitah,,,,
Rude children are badly bahaved,adbisinna le urri gexgexit umaane le,,,,
footballers have to obey rules,koqsoh digira mari le madqah amrisimam faxximta,,,,
the president rules his country well,ummuunoh abba isi baaxo nagay xiinisa,,,,
my tummy is rumbling,Bagi gulluq yok iyya,,,,
rain fell after a rumble of thunder ,Rob angad Xongolok lakal rade,,,,
He spoke rudely to here,Usuk teetil lih adbisinna maqansiisa,,,,
our rice has run out ,Luk sugne ruddi yembexeh,,,,
the camel ruminates  on its food ,Rakub yokmem qangaddaysitah,,,,
They ruffled my peace,oson wagari yok darraqoysen,,,,
I ruminated on recent events,axayyu tekkem cubbusak cisaabiseh,,,,
I can hear water running,lee kollocto aabbeh an,,,,
the escaped prisoner is still on the run,casbik yuftuce num uxih kudimit yan,,,,
the runner failed to reach the finish, yarde num wadba gufu yeffereh,,,,
the rumour is sometimes false and sometimes true ,"texcetexce dirab takke waqdi leh, numma takke waqdi leh",,,,
I had the runs after eating that food ,woo maaqo okmek lakal bagigexo yoo tibbixe,,,,
salad is washed  and eaten cold,"salaata kaqliseenih, xamcinuk yakmen",,,,
most employees take their salary at the ende month,Taamita marak tayse gaba maahiyat alsi illacabol beyta,,,,
this is no salaried post,ah maahiyat le arac hinna,,,,
Our sale of books was high today,nek a saaki buukaatih maylamma fayya teelle,,,,
a sale was announced at that shop,tellemmoh obtima lem woo dokkaan yiysixxige,,,,
saliva keeps the mouth moist,qunxuffe af allaggossah,,,,
Add salt to the stew,saalot  qasbo hayis,,,,
be sure you salt the stew,saalo qasbossam arcis,,,,
the read sea very salty,qasbad mango qasbit le,,,,
salt water does not tast nice,badliyti tamu mameqe,,,,
when people meet they salute each other,sinnam tangoorowe waqdi naagle tittak abta ,,,,
soldier salute their officers,qaskar issi abbobtih salaam abta,,,,
I heard his salutation from the door ,kay nagaaley afattinuk abeh iyya oobbe,,,,
the police rushed to the scene of wrongdoing,ceelewayto elle tekke arac boliiis dadho bahte,,,,
Abdu got Omar where he  didn't  want to go by a ruse ,Qabdu Qumar gexam faxe waak suge arac ayrat bee,,,,
There is rupture between those who were in league,inki bagu luk suge marih fanat baxsi yekke,,,,
Two rungs of the ladders are loose ,kortimeyni ibi-obsittek nammay salac le,,,,
Iron rusts in water,Birti leet diciilitah,,,,
snow falls in europe in very cold weather ,irobbal kaxxa xamca tan saaku barad rada,,,,
my request was greeted with a snub ,yi essero bura le intit yublen,,,,
my friend snubbed me,yi kataysis kanak yoo maallinna,,,,
a pinch of snuff is put up the nose,siinok lifiq sanah sinan,,,,
I have  had a sufficiency of food,Anu maaqo duudo geeh,,,,
we are suffocated by lack of air,silayti wayti gexxamah ufuykuuqutne,,,,
Waiting saves one from doing things in a hurry,Sugiyyi sissikak koo cata,,,,
Tell/pass greetings to my maternal cousin,Yi nangaluk salaamâ xica,,,,
we will come tommorow,Anu beera amaateno,,,,
The crew abandoned the sinking ship,Bahriya suta markab cabte,,,,
He abandoned his wife and son,Usuk isi barra kee baxa qidoh cabeh,,,,
The abandonment of the project could be a disaster,Woo yucussulen taamak cabti finqa xaltu bicta,,,,
